Name,Address,Phone,Email,Website,ABN,Profession,InternshipOrInternships,ApprenticeshipOrApprenticeships,TraineeshipOrTraineeships,HROrHumanResources,JobOrJobs,CareerOrCareers,WorkPlacement,Employment,EmailCrawler,Error
Athena Speech Therapy,"Level 1, 1-5 Link Road, Zetland, NSW 2017",0477 045 522,chrissie@athenaspeechtherapy.com.au,https://www.athenaspeechtherapy.com.au,76171229948,,NO,NO,NO,NO,NO,NO,NO,NO,chrissie@athenaspeechtherapy.com.au,
Aruma Services,"195 Booran Road, Caulfield South, VIC 3162",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
Fine Edge Additions Pty Ltd,"Unit 1, 6 Precision Place, Mulgrave, NSW 2756",0484 232 533,info@fineedgeadditions.com.au,https://www.fineedgeadditions.com.au,15609262857,,NO,NO,NO,NO,NO,NO,NO,NO,info@fineedgeadditions.com.au,
Aruma Services,"26 Arrowgrass Street, Aberglasslyn, NSW 2320",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
Healthy Lifestyles Australia,"311 O'reilly's Weir Road, Patrick Estate, QLD 4311",07 3088 2323,reception@healthylifestylesaustralia.com,https://www.healthylifestylesaustralia.com,61340634761,,NO,NO,NO,NO,NO,NO,NO,NO,"shop@healthylifestylesaustralia.com, reception@HLA.AU",
Healthstyles Clinic Pty Ltd,"75-77 Cameron Street, Launceston, TAS 7250",1300 240 030,robyne@healthstyles.com.au,https://healthstyles.com.au,86660584323,"Aboriginal Health Worker, Art Therapist, Audiologist, Counsellor, Developmental Educators, Dietician, Disability Support Worker (includes Mental Health or Peer Worker), Exercise Physiologist, Music Therapist, Occupational Therapist, Orthoptist, Other Health Professional, Physiotherapist, Podiatrist, Psychologist, Rehabilitation Counsellor, Social Worker, Speech Pathologist, Welfare Worker",NO,NO,NO,NO,NO,NO,NO,NO,user@domain.com,
#enabled4life Ndis Plan Management,"Nixon Street, Marion, SA 5043",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Goal Connect Pty Ltd.,"81 King William Street, Bayswater, WA 6053",0424 224 029,rtugwete@gmail.com,,54655518077,Registered Nurse,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Be Inclusive Pty Ltd,"408b, 200 Burwood Road, Hawthorn, VIC 3122",1300 322 006,admin@theinclusivegroup.com.au,https://www.theinclusivegroup.com.au,86644981304,"Cleaner, Disability Support Worker (includes Mental Health or Peer Worker), Gardener, Other allied health,  developmental educator,  social or health science professional",NO,NO,NO,NO,YES,NO,NO,NO,admin@theinclusivegroup.com.au,
Aruma Services,"175 Princes Way, Drouin, VIC 3818",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
Alliance Plan Management Services,"3 Burke Street, Wynnum, QLD 4178",1800 161 191,hello@allianceplanmanagement.com.au,https://www.allianceplanmanagement.com.au,71524868339,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"accounts@allianceplanmanagement.com.au, hello@allianceplanmanagement.com.au",
Aruma Services,"63 City Road, Beenleigh, QLD 4207",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
Alliance Plan Management Services,"Carob Crescent, Craigmore, SA 5114",1800 161 191,hello@allianceplanmanagement.com.au,https://www.allianceplanmanagement.com.au,71524868339,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"accounts@allianceplanmanagement.com.au, hello@allianceplanmanagement.com.au",
Housing Choices South Australia Limited,"192 Waymouth Street, Adelaide, SA 5000",03 8636 9400,companysecretary@hcau.org.au,https://housingchoices.org.au,21122807130,,NO,NO,NO,NO,NO,YES,NO,NO,NA,
Jrd Garden & Mowing,"198 Lincoln Road, Croydon, VIC 3136",0488 557 035,jrdmowing@gmail.com,,33232255663,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Aruma Services,"1 Jaiden Way, Coomera, QLD 4209",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
Aspire Community Services,"Bungaree, Bungaree, VIC 3352",1300 080 405,info@aspirecommunityservices.com.au,https://www.aspirecommunityservices.com.au,16636863191,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,YES,YES,NO,YES,"Emlem@2x.png, Asset-6@3x-1536x629.png, Logo-Aspire-NDIS-providers-Melbourne@2x-300x93.png, Emlem@2x-150x150.png, info@aspirecommunityservices.com.au, Asset-6@3x-768x314.png, Logo-Aspire-NDIS-providers-Melbourne@2x.png, Asset-6@3x-300x123.png, Emlem@2x-300x300.png, Asset-6@3x-2048x839.png, Asset-6@3x-1024x419.png, Logo-Aspire-NDIS-providers-Melbourne@2x-768x238.png",
Aus Safe Support,"33 Glenview Grove, Glendenning, NSW 2761",0413 183 697,marybindu@hotmail.com,https://www.aussafesupport.com.au,76645236835,,NO,NO,NO,NO,YES,YES,NO,NO,info@aussafesupport.com.au,
G Singh Pty. Ltd.,"40 Waugoola Street, Gordon, NSW 2072",0450 677 000,planmanager2024@outlook.com,,84155228532,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Hale Community Support,"7 Haleluka Crescent, Plumpton, NSW 2761",0413 571 152,plumptonhouse@halesupport.org.au,https://halesupport.org.au,63931266704,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,NO,YES,NO,NO,hcsintake@halesupport.org.au,
Coastal Psych,"Lot 224, 106 Meehan Drive, Kiama Downs, NSW 2533",0460 717 757,ben@coastalpsych.com.au,https://www.coastalpsych.com.au,95332597299,Counsellor,NO,NO,NO,NO,NO,NO,NO,NO,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,
Happiness Homecare Pty Ltd.,"9, 36 George Street, Marrickville, NSW 2204",0413 381 602,a.jianhonghu@gmail.com,,23666301846,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Attune Hearing Pty Ltd Brisbane,"107 Dandenong Road, Jamboree Heights, QLD 4074",07 3026 5800,mtommaneyadmin@attune.com.au,https://www.attune.com.au,95050398813,Audiologist,NO,NO,NO,NO,NO,YES,NO,NO,NA,
Enabled 4 Life,"Rundle Street, Ulladulla, NSW 2539",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,84949453982,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
"Emond, Judith","11 Grant Street, Meredith, VIC 3333",0408 791 097,judithemond@bigpond.com,,82872762595,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Aruma Services,"15 Northview Terrace, Figtree, NSW 2525",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
Jrac Support Services,"20 Davis Close, Manoora, QLD 4870",0412 910 244,jjsupermarket16@outlook.com,,39676657417,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Dietitian Sj,"Shop 15, 161 Macquarie St, Liverpool, NSW 2170",0433 201 678,sallyjuan.dietitian@gmail.com,https://www.dietitiansj.com.au,31857901572,Dietician,NO,NO,NO,NO,NO,NO,NO,NO,"88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com, 0e6a29e4756740a8a63493e912ba2174@sentry.wixpress.com, 460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 98b21aa53d68482b8414e892d9af0e5f@sentry-next.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, baf30a2b91654c5a840931f0137bed30@sentry.wixpress.com, f36cc48fb72b4d298c835f2793cf3b84@sentry-next.wixpress.com",
Alliance Plan Management Services,"Christine Avenue, Alfredton, VIC 3350",1800 161 191,hello@allianceplanmanagement.com.au,https://www.allianceplanmanagement.com.au,71524868339,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"accounts@allianceplanmanagement.com.au, hello@allianceplanmanagement.com.au",
Alliance Plan Management Services,"Tate Street, East Geelong, VIC 3219",1800 161 191,hello@allianceplanmanagement.com.au,https://www.allianceplanmanagement.com.au,71524868339,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"accounts@allianceplanmanagement.com.au, hello@allianceplanmanagement.com.au",
Australian Epic Health Services Pty Ltd,"Unit 9, 25 Regent Street, Preston, VIC 3072",0431 101 905,anil.b@aehsndis.com.au,https://www.aehsndis.com.au,65636929890,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,YES,NO,NO,NO,"460ff4620fa44cba8df530afde949785@sentry.wixpress.com, email@example.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, support@aehsndis.com.au, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",
Aruma Services,"11 Harewood Place, Cecil Hills, NSW 2171",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
#enabled4life Ndis Plan Management,"Ashford Road, Keswick, SA 5035",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Joya Medical Supplies,"Unit 2, 28 Newheath Drive, Arundel, QLD 4214",1300 005 032,pinal.patel@joyamedicalsupplies.com.au,https://www.joyamedicalsupplies.com.au,65637602914,Other,NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
Civic Disability Services Limited,"73 Cabramatta Avenue, Miller, NSW 2168",,,https://www.civic.org.au,16000744141,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,YES,YES,NO,YES,enquiries@civic.org.au,
Aus-Con Plan Design Build,"84 Saltash Street, Yagoona, NSW 2199",0403 757 525,hello@connectmycommunity.com.au,https://www.connectmycommunity.com.au,52617737238,,NO,NO,NO,NO,NO,NO,NO,NO,hello@connectmycommunity.com.au,
B&f Care Pty Ltd,"6 Allum Way, Logan Reserve, QLD 4133",0426 409 905,kangethepaul@gmail.com,,31661181488,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
#enabled4life Ndis Plan Management,"Sandham Street, Meningie, SA 5264",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Bay Of Isles Community Outreach Inc,"Units 4-6, 56 The Esplanade, Esperance, WA 6450",08 9072 1072,admin@boico.org.au,https://www.boico.org.au,91511282882,,NO,NO,NO,NO,NO,NO,NO,NO,,"Request failed: TCP connection timed out: 10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond.."
#enabled4life Ndis Plan Management,"Gray Street, Kilkenny, SA 5009",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Activot Northfield,"Po Box 1107, Clearview, SA 5085",0400 091 116,natasha@activot.com.au,https://www.activot.com.au/,83699500128,,NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
Barunga Village Inc,"Barunga Village, 11 Edmund Street, Port Broughton, SA 5522",08 8635 0541,mhewett@barungavillage.com.au,https://www.barungavillage.com.au,30211708504,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,NO,YES,NO,YES,headoffice@barungavillage.com.au,
Afea Pty Ltd,"111 Adelaide Street, Oxley Park, NSW 2760",1300 651 133,hello@afea.com.au,https://www.afea.com.au,93118260156,"Disability Support Worker (includes Mental Health or Peer Worker), Registered Nurse",NO,NO,NO,NO,YES,YES,NO,NO,NA,
Healthy Mind Centre Launceston Pty Ltd,"Office 8, 2 Trotters Lane, Prospect, TAS 7250",03 6388 9229,olivia.boer@healthymindcentre.com.au,https://www.healthymindcentre.com.au,79621833065,,YES,NO,NO,NO,NO,YES,NO,NO,admin@healthymindcentre.com.au,
Empower Ot,"7 Carindale Street, Kellyville Ridge, NSW 2155",0480 122 110,management@empoweroccupationaltherapy.com.au,https://www.empoweroccupationaltherapy.com.au,78662381240,,NO,NO,NO,NO,NO,NO,NO,NO,"605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, gemma@empoweroccupationaltherapy.com.au",
Angel Caring Group,"62 Stately Drive, Cranbourne East, VIC 3977",0425 364 939,sonuprabh@hotmail.com,,91653480267,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Amr Development Enterprise,"5 Charles Street, Gulliver, QLD 4812",07 4753 4850,adminndis@tatsicfw.com,https://www.tatsicfw.com,35247907885,"Disability Support Worker (includes Mental Health or Peer Worker), Gardener, Other",NO,NO,NO,NO,NO,NO,NO,NO,,"Request failed: TCP connection timed out: 10060: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond.."
John Blythe Child Psychology,"64 Gymea Bay Road, Gymea, NSW 2227",02 9622 9610,info@childpsychology.net.au,https://www.childpsychology.net.au,18648305929,Psychologist,NO,NO,NO,NO,NO,YES,NO,NO,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com",
#enabled4life Ndis Plan Management,"Kyneton, Kyneton, VIC 3444",1300 667 454,supportservices@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Aidacare Pty Ltd,"273c Kennedy Drive, Cambridge, TAS 7170",03 6229 4733,ndis@aidacare.com.au,https://www.aidacare.com.au,40134398833,"Occupational Therapist, Other",NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
Eloma Care,"Shop 1, 102 York Street, Beenleigh, QLD 4207",1300 764 355,info@elomacare.com.au,https://elomacare.com.au,12658255273,Social Worker,NO,NO,NO,NO,YES,YES,NO,NO,NA,
#enabled4life Ndis Plan Management,"Lang Street, Kurri Kurri, NSW 2327",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Cocoon Sda Care,"Unit 106, 2 Higherdale Avenue, Miranda, NSW 2228",,,https://www.cocoons.com.au,35163786874,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,YES,NO,NO,YES,info@cocoons.com.au,
Johann Thornton Holdings,"4 Studley Street, Carramar, NSW 2163",0404 844 883,johann_1961@yahoo.com.au,,39718224414,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Ace Plan Managment,"Eppalock Airfield Road, Eppalock, VIC 3551",0423 128 110,cheryl@aceplanmanagement.com.au,https://www.aceplanmanagement.com.au,42787681058,Accountant/Bookkeeper,NO,NO,NO,NO,YES,NO,NO,NO,info@aceplanmanagement.com.au,
#enabled4life Ndis Plan Management,"Lakes Entrance, Lakes Entrance, VIC 3909",1300 667 454,supportservices@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Flexichoice Mdfsa,"130 Mason Street, Mareeba, QLD 4880",07 4092 2332,office@flexichoice.org.au,https://www.flexichoice.org.au/,54025226464,Other,NO,NO,NO,NO,NO,NO,NO,NO,"18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",
Afterhours Kid Pty Ltd,"121 Norton Street, Leichhardt, NSW 2040",0412 091 109,kicksleichhardt121@gmail.com,,21632709954,"Other, Social Worker",NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Bcognitive,"263 Sturt Street, Adelaide, SA 5000",0468 787 481,brian.n@bcognitive.com.au,https://www.bcognitive.com.au/,11656093373,"Aboriginal Health Worker, Counsellor, Developmental Educators, Disability Support Worker (includes Mental Health or Peer Worker), Occupational Therapist, Other allied health,  developmental educator,  social or health science professional, Social Worker",NO,NO,NO,NO,NO,NO,NO,NO,NA,
Aruma Services,"47 Mcguire Drive, Goulburn, NSW 2580",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
Happymoon Bakery Pty Ltd,"Unit 4, 22 Redland Drive, Mitcham, VIC 3132",0423 683 909,xianjing120@hotmail.com,,76669002608,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Goc Care Philia Support Services,"22a Browning Street, South Brisbane, QLD 4101",0413 207 713,claire.gordon@goccare.com.au,https://www.goccare.com.au,34586496769,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,NO,YES,NO,NO,info@goccare.com.au,
#enabled4life Ndis Plan Management,"Hedgeland Close, Meadowbank, NSW 2114",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930," , Accountant/Bookkeeper",NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
H.A.D Healthcare Pty Ltd,"Unit 205, 1510 Pascoe Vale Road, Coolaroo, VIC 3048",0410 405 185,hadhealthcare.ndis@gmail.com,,34653524577,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
#enabled4life Ndis Plan Management,"Loira, Loira, TAS 7275",1300 667 454,supportservices@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Finest Care Pty Ltd,"1 Parkes Way, Hampton Park, VIC 3976",0470 654 845,alialhusuni1@gmail.com,,25653526535,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Jrp Physiotherapy,"18 Raleigh Street, Westmeadows, VIC 3049",0423 858 325,admin@jrp-physio.com,https://www.jrp-physio.com,17510647030,Physiotherapist,NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
Happy In Home Care Pty Ltd.,"Unit 18, 1 Dayman Place, Marsfield, NSW 2122",0405 648 862,michellepingol@yahoo.com,,79657528615,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Alliance Plan Management Services,"Grafton Street, East Ipswich, QLD 4305",1800 161 191,hello@allianceplanmanagement.com.au,https://www.allianceplanmanagement.com.au,71524868339,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"accounts@allianceplanmanagement.com.au, hello@allianceplanmanagement.com.au",
Alpha Quality Care,"Unit 4 76 Manahan Street, Condell Park, NSW 2200",0416 261 654,salwa.marzouk@hotmail.com,https://www.alphaqualitycare.com.au,20135415542,Aboriginal Health Worker,NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
Apex Health And Rehab Solutions,,0410 180 003,andrewa@apexhrs.com.au,https://www.apexhrs.com.au,71386112721,,NO,NO,NO,NO,NO,NO,NO,NO,info@apexhrs.com.au,
"Ainsworth, Elizabeth","43, Rutland Street, Coorparoo, QLD 4151",0408 781 554,info@homedesignforliving.com,https://www.homedesignforliving.com,84408759040,,NO,NO,NO,NO,NO,NO,NO,NO,NA,
#enabled4life Ndis Plan Management,"Kojonup, Kojonup, WA 6395",1300 667 454,supportservices@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Autism Association Of Western Australia (Inc),"37-39 Hay Street, Subiaco, WA 6008",08 9489 8900,autismwa@autism.org.au,https://www.autism.org.au,54354917843,"Occupational Therapist, Psychologist, Speech Pathologist",NO,NO,NO,NO,YES,YES,NO,YES,autismwa@autism.org.au,
B Miles Womens Foundation Incorporated,"Shop 5, 203 New South Head Road, Edgecliff, NSW 2027",02 8036 5559,leanne@bmiles.org.au,https://www.bmiles.org.au,31323982619,,NO,NO,NO,NO,NO,NO,NO,NO,NA,
Attune Hearing Pty Ltd Brisbane,"Unit 211, 300 Pacific Highway, Crows Nest, NSW 2065",02 8423 6000,crowsnest@attune.com.au,https://www.attune.com.au,95050398813,"Audiologist, Other",NO,NO,NO,NO,NO,YES,NO,NO,NA,
Alliance Plan Management Services,"Cooper Drive, St Albans Park, VIC 3219",1800 161 191,hello@allianceplanmanagement.com.au,https://www.allianceplanmanagement.com.au,71524868339,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"accounts@allianceplanmanagement.com.au, hello@allianceplanmanagement.com.au",
Aruma Services,"2 Churnwood Place, Albion Park Rail, NSW 2527",1300 538 746,enquiries@aruma.com.au,https://www.aruma.com.au,31001813403,Other,NO,NO,NO,NO,YES,YES,NO,YES,NA,
"Angel, Elizabeth Anne","Unit 14, 27 Miranda Road, Miranda, NSW 2228",0414 498 390,liz@lizangel.com.au,https://www.lizangelconsultancy.com.au,95711685945,,NO,NO,NO,NO,NO,NO,NO,NO,NA,
Alliance Plan Management Services,"354 Bay Street, Brighton-Le-Sands, NSW 2216",1800 161 191,hello@allianceplanmanagement.com.au,https://www.allianceplanmanagement.com.au,71524868339,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"accounts@allianceplanmanagement.com.au, hello@allianceplanmanagement.com.au",
Empower Health Services Pty Ltd,"Unit 1, 21 Short Street, Port Macquarie, NSW 2444",0423 933 512,gabriel@empowerhealthservices.com.au,https://www.empowerhealthservices.com.au,12636650569,,NO,NO,NO,NO,NO,NO,NO,NO,"impallari@gmail.com, team@latofonts.com, admin@empowerhealthservices.com.au",
Dowdy Clean,"13 Pads Way, Sunbury, VIC 3429",0498 196 323,dowdyclean@gmail.com,,44669222806,,NO,NO,NO,NO,NO,NO,NO,NO,,Invalid or missing website
Happy Breeze Therapy Services,"60 Dillon Road, Flinders, NSW 2529",0432 784 760,contact@happybreeze.com.au,https://www.happybreeze.com.au,32424291884,,NO,NO,NO,NO,YES,NO,NO,NO,"filler@godaddy.com, impallari@gmail.com",
#enabled4life Ndis Plan Management,"George Street, Kilburn, SA 5084",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Central Coast Living Options,"Unit 3, 30 Boyce Avenue, Wyong, NSW 2259",02 4353 2411,praveen@cclo.com.au,https://www.cclo.com.au,37089411280,Disability Support Worker (includes Mental Health or Peer Worker),NO,NO,NO,NO,NO,NO,NO,NO,info@cclo.com.au,
Ampey Pty Ltd,"Citigate Centre, Suite 1 451 Pacific Highway, Wyoming, NSW 2250",0411 919 805,ampey@ampeyou.com,https://www.ampeyou.com,79648441150,"Disability Support Worker (includes Mental Health or Peer Worker), Other",NO,NO,NO,NO,NO,NO,NO,NO,"460ff4620fa44cba8df530afde949785@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, ampeyou@outlook.com, ampey@ampeyou.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",
Foot Body Sole,"Shop B009a, 571-583 High Street, Epping, VIC 3076",,,https://footbodysole.com.au,60462657752,Podiatrist,NO,NO,NO,NO,NO,YES,NO,NO,"460ff4620fa44cba8df530afde949785@sentry.wixpress.com, info@footbodysole.com.au, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com, 271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com, 8c4075d5481d476e945486754f783364@sentry.io, 54b4aac306184111a223c0f4aea635c3@sentry.wixpress.com, 2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com, c183baa23371454f99f417f6616b724d@sentry.wixpress.com, ed436f5053144538958ad06a5005e99a@sentry.wixpress.com, 8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com",
#enabled4life Ndis Plan Management,"Kunyal Place, Greystanes, NSW 2145",1300 667 454,engagement@enabled4life.com.au,https://www.enabled4life.com.au,91636315930," , Accountant/Bookkeeper",NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Everyday Independence Pty Ltd Vic,"5 Doherty Street, Pakenham, VIC 3810",1300 179 131,mytherapy@everydayind.com.au,https://www.everydayind.com.au,66601657596,"Occupational Therapist, Physiotherapist, Speech Pathologist",NO,NO,NO,NO,YES,YES,NO,NO,"image-3@2x.png, decoration-big@2x.png, image-3@2x-768x430.png, image-3@2x-1024x573.png, image-3@2x-300x168.png",
#enabled4life Ndis Plan Management,"Gundagai, Gundagai, NSW 2722",1300 667 454,supportservices@enabled4life.com.au,https://www.enabled4life.com.au,91636315930,Accountant/Bookkeeper,NO,NO,NO,NO,NO,NO,NO,NO,"paymyinvoice@enabled4life.com.au, engagement@enabled4life.com.au",
Aidacare Pty Ltd,"4 Daws Road, Ascot Park, SA 5043",08 8293 5444,ndis@aidacare.com.au,https://www.aidacare.com.au,40134398833,"Occupational Therapist, Other",NO,NO,NO,NO,NO,NO,NO,NO,,Request failed: Ignoring non-200 response
